,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,location,price
5880, 1C6SRFFT3LN242122,Ram,['1500'],"Big Horn Crew Cab 5'7"" Box 4WD",2020,"34,199", 19,24, Automatic, 4WD,Gas,Gray,Black,0,1, Personal use,"Indianapolis, IN","41,000"
5881, 1C6RREFG5MN594339,Ram,['1500'],"Big Horn Crew Cab 5'7"" Box 2WD",2021,"23,475", 20,25, Automatic, RWD,Gas,Gray,Gray,0,1, Personal use,"Scottsdale, AZ","37,070"
5882, 5TFAZ5CN4JX060841,Toyota,['Tacoma'],SR5 Double Cab 5' Bed V6 RWD Automatic,2018,"134,312", 19,24, Automatic, RWD,Gas,White,Gray,0,2, Personal use,"Milton, FL","26,800"
5883, 1N4AL3AP5FC266278,Nissan,['Altima'],2.5 S,2015,"76,563", 27,38, Automatic, FWD,Gas,White,Black,0,2, Fleet use,"Lilburn, GA","14,495"
5884, 3C6JR6DT9GG257544,Ram,['1500'],"Tradesman Regular Cab 8'2"" Box 2WD",2016,"92,005", 17,25, Automatic, RWD,Gas,White,Gray,0,2, Personal use,"Nashville, TN","16,900"
5885, 3VV3B7AX3LM096253,Volkswagen,['Tiguan'],2.0T SEL FWD,2020,"62,854", 22,29, Automatic, FWD,Gas,Gray,Black,1,1, Personal use,"Jacksonville, FL","28,100"
5886, 1FT7W2BT6GEA26650,Ford,"['Super', 'Duty', 'F-250']","Platinum Crew Cab 156"" 4WD",2016,"88,678",n/a,n/a, Automatic, 4WD,Diesel,Black,Black,3,1, Personal use,"Pasadena, TX","47,988"
5887, 1FM5K8D89KGA81083,Ford,['Explorer'],XLT 4WD,2019,"18,981",n/a,n/a,n/a,n/a,n/a,Black,Black,0,1, Personal use,"East Windsor, NJ","35,188"
5888, 5XYPG4A53KG446975,Kia,['Sorento'],LX V6 FWD,2019,"70,133", 19,26, Automatic, FWD,Gas,Gray,Black,0,2, Personal use,"San Diego, CA","19,999"
5889, 1C4RJEBG0KC857397,Jeep,"['Grand', 'Cherokee']",Limited RWD,2019,"23,117",n/a,n/a,n/a,n/a,n/a,Black,Black,0,1, Personal use,"Hollywood, FL","31,768"
5890, 3N1AB7AP2KY406134,Nissan,['Sentra'],S CVT,2019,"101,699", 27,35, Automatic, FWD,Gas,Silver,Black,0,1, Fleet use,"Brownsville, TN","14,500"
5891, 4T1G11AKXLU350990,Toyota,['Camry'],SE FWD Automatic,2020,"24,167", 28,39, Automatic, FWD,Gas,Red,Black,0,1, Personal use,"Roseville, CA","28,990"
5892, 1FTMF1CM9DKD84939,Ford,['F-150'],STX Reg Cab 6.5' Box 2WD,2013,"165,239", 17,23, Automatic, RWD,Gas,White,Unknown,2,3, Fleet use,"Glen Burnie, MD","9,995"
5893, 5TFCZ5AN2HX113655,Toyota,['Tacoma'],TRD Off Road Double Cab 5' Bed V6 4WD Automatic,2017,"104,389", 18,23, Automatic, 4WD,Gas,White,Gray,0,1, Personal use,"Pasadena, TX","27,488"
5894, 2GNAXJEV9J6108062,Chevrolet,['Equinox'],LT with 1LT FWD,2018,"114,445", 26,32, Automatic, FWD,Gas,Black,Gray,0,0, Personal use,"Broken Arrow, OK","17,500"
5895, 1C4HJWDG1FL591876,Jeep,['Wrangler'],Unlimited Sport,2015,"109,910", 16,21, Automatic, 4WD,Gas,Gray,Black,0,4, Personal use,"Lakeside, CA","22,995"
5896, 1FTFX1EG1JKD94681,Ford,['F-150'],XL SuperCab 6.5' Box 4WD,2018,"105,691", 18,23, Automatic, 4WD,Gas,White,Gray,0,1, Fleet use,"Tucson, AZ","24,979"
5897, 3GCPWCED2LG298027,Chevrolet,"['Silverado', '1500']",LT Crew Cab Short Bed 2WD,2020,"46,000", 20,23, Automatic, RWD,Gas,Black,Black,0,1, Personal use,"Homosassa, FL","38,880"
5898, 1FMCU9GD9KUA07941,Ford,['Escape'],SE AWD,2019,"70,416", 22,28, Automatic, 4WD,Gas,Black,Gray,0,2, Personal use,"Worthington, OH","20,400"
5899, 2FMPK3J96LBA69233,Ford,['Edge'],SEL FWD,2020,"19,831", 21,29, Automatic, FWD,Gas,Silver,Black,0,1, Personal use,"Corpus Christi, TX","30,988"
5900, 3GCUKREC5JG402564,Chevrolet,"['Silverado', '1500']",LT Crew Cab Short Box 4WD,2018,"72,375", 17,22, Automatic, 4WD,Gas,Black,Black,0,2, Personal use,"Watertown, NY","33,999"
5901, 1C4RJEAG4KC732291,Jeep,"['Grand', 'Cherokee']",Laredo E RWD,2019,"82,497", 19,26, Automatic, RWD,Gas,Black,Black,0,1, Personal use,"Orlando, FL","25,999"
5902, 1FTBR1C81LKA44815,Ford,"['Transit', 'Cargo', 'Van']","T-250 130"" Medium Roof 9070 GVWR RWD",2020,"18,536",n/a,n/a, Automatic, RWD,Gas,White,Gray,0,1, Personal use,"Fremont, CA","45,500"
5903, 1GCVKREC6JZ327152,Chevrolet,"['Silverado', '1500']",LT Double Cab Standard Box 4WD,2018,"76,073", 17,22, Automatic, 4WD,Gas,White,Black,1,1, Personal use,"Corpus Christi, TX","29,980"
5904, 1GCZGFDA2A1130303,Chevrolet,"['Express', 'Cargo', 'Van']","2500 135"" RWD",2010,"185,560",n/a,n/a, Automatic, RWD,Gas,White,Gray,0,4, Personal use,"Denver, CO","6,299"
5905, 3D7KU28D13G771816,Dodge,"['Ram', '2500']",SLT Quad Cab Regular Bed 4WD,2003,"133,394",n/a,n/a, Automatic, 4WD,Gas,Silver,Unknown,1,3, Personal use,"Middletown, NJ","12,995"
5906, 1GNSKCKC7KR125031,Chevrolet,['Tahoe'],Premier 4WD,2019,"12,257", 15,21, Automatic, 4WD,Gas,White,Black,0,1, Personal use,"Odessa, TX","67,988"
5907, 58ABZ1B19KU040040,Lexus,['ES'],ES 350,2019,"14,658", 22,33, Automatic, FWD,Gas,White,Unknown,0,1, Personal use,"Carrollton, TX","39,269"
5908, 1C4HJXFG6JW106979,Jeep,['Wrangler'],Unlimited Rubicon (JL),2018,"41,723", 17,23, Automatic, 4WD,Gas,White,Black,0,1, Fleet use,"Manassas, VA","43,495"
5909, JA4AZ3A36LZ027718,Mitsubishi,['Outlander'],SE S-AWC,2020,"47,228", 24,29, Automatic, 4WD,Gas,Black,Black,1,1, Fleet use,"Oklahoma City, OK","20,671"
5910, MAJ6S3JL2LC314997,Ford,['EcoSport'],SES 4WD,2020,"11,171", 23,29, Automatic, 4WD,Gas,Silver,Black,0,1, Personal use,"Concord, NC","22,499"
5911, 5TFEY5F19MX277383,Toyota,['Tundra'],SR5 CrewMax 5.5' Bed 5.7L 2WD,2021,"15,258",n/a,n/a,n/a,n/a,n/a,Black,Gray,0,1, Personal use,"Bryan, TX","45,488"
5912, 1FAHP60A82Y120200,Ford,['Thunderbird'],Deluxe,2002,"72,956", 17,23, Automatic, RWD,Gas,Black,Black,1,4, Personal use,"Wichita, KS","16,975"
5913, 1FAHP60A82Y120200,Ford,['Thunderbird'],Deluxe,2002,"72,956", 17,23, Automatic, RWD,Gas,Black,Black,1,4, Personal use,"Wichita, KS","16,975"
5914, 1C6SRFFT1LN167842,Ram,['1500'],"Big Horn Crew Cab 5'7"" Box 4WD",2020,"21,096", 19,24, Automatic, 4WD,Gas,Gray,Black,0,1, Personal use,"Murfreesboro, TN","41,486"
5915, 1N4BL4BV1LC215699,Nissan,['Altima'],2.5 S FWD,2020,"64,583", 28,39, Automatic, FWD,Gas,Gray,Black,0,1, Personal use,"Kennesaw, GA","21,477"
5916, 3GNAXSEV7JL403209,Chevrolet,['Equinox'],LT with 1LT AWD,2018,"33,310", 24,30, Automatic, AWD,Gas,Blue,Black,0,2, Personal use,"Plains, PA","23,574"
